step,name,input_path,symbols_in_input,srs_total_size,delta_added,H_struct_input_log,H_struct_total_log
1,S1,C:/Users/ASUS/Desktop/SSAU/outputs/ssau_master_alphabet/alphabet.json,8,8,8,2.079441542,2.079441542
2,S2,C:/Users/ASUS/Desktop/SSAU/outputs/ssau_inject_out/20000101_000000__SSAU_INJECT__V01__V01_INJECT_SSAU_MASTER/INJECT_000050/alphabet.json,58,58,50,4.060443011,4.060443011
3,S3,C:/Users/ASUS/Desktop/SSAU/outputs/ssau_unify_out/20000101_000000__SSAU_UNIFY__V02__V02_UNIFY_MASTER_PLUS_INJECT50/ssau_unified_alphabet.json,58,58,0,4.060443011,4.060443011
